CODE1,CODE2,CORRELATION,DELAY
FUNCEX12_XPB12,FUNCEX12_XPM12,0.9499289983579398,4
FUNCEX12_MPPLAS2N12,FUNCEX12_MPQUIM2N12,0.9497851835626916,2
ELETRO12_CEEOUT12,IGP12_IGPF12,0.9497552160264884,-12
ABATE12_ABQUSU12,ELETRO12_CEEOUT12,0.9496675982456448,-6
ELETRO12_CEEOUT12,FUNCEX12_XQFARM2N12,0.949593476936882,-5
ABATE12_ABQUSU12,IGP12_IPAI12,0.9494973391483366,-4
FUNCEX12_MDPT12,FUNCEX12_XPB12,0.9494743180365628,-1
FUNCEX12_MPPLAS2N12,FUNCEX12_MPQUIM2N12,0.9494455423656616,1
ELETRO12_CEETCOM12,BM12_DINGFN12,0.949348181238971,11
ELETRO12_CEEOUT12,FUNCEX12_MQPES2N12,0.9491568620128108,-1
ELETRO12_CEETCOM12,BM12_DINGFN12,0.94910346497935,10
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.9490338988157058,7
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9489983207343357,2
FUNCEX12_XPM12,FUNCEX12_XVQUIM2N12,0.9489378181863006,-2
ELETRO12_CEERES12,FUNCEX12_MQPES2N12,0.9489157498258282,-2
ELETRO12_CEEOUT12,IGP12_IGPOG12,0.9488845898967864,-11
FUNCEX12_MPAGP2N12,FUNCEX12_MPAL2N12,0.9488760826224838,3
FUNCEX12_MPQUIM2N12,FUNCEX12_XPT12,0.9487517189090804,-5
FUNCEX12_XPT12,BPAG12_SERTRANSD12,0.9486554628973606,1
ABATE12_ABQUSU12,ELETRO12_CEEOUT12,0.9486115794607692,-10
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.9485981423483884,5
ABATE12_ABQUSU12,ELETRO12_CEEOUT12,0.9485961936010632,-2
ELETRO12_CEETCOM12,BM12_DINGFN12,0.948461740149392,9
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.948435638007405,-6
ABATE12_ABQUSU12,ELETRO12_CEEOUT12,0.9484196123897762,-5
ELETRO12_CEETIND12,BM12_DINGFN12,0.9484128546763396,2
ABATE12_ABPESU12,IGP12_IPAI12,0.9482610418275338,-4
FUNCEX12_MPAGP2N12,FUNCEX12_XPB12,0.948193864012617,1
ELETRO12_CEETT12,BM12_DINGFN12,0.9481498794122104,5
ABATE12_ABQUSU12,IGP12_IPAI12,0.9481270173341624,-3
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9477549593171768,8
ELETRO12_CEERES12,FUNCEX12_MQPES2N12,0.947700225409174,-3
FUNCEX12_XPM12,FUNCEX12_XVQUIM2N12,0.9476556440420454,-1
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.9475853945193786,6
FUNCEX12_MDPT12,FUNCEX12_XPB12,0.94751290715501,-3
ELETRO12_CEETCOM12,BM12_DINGFN12,0.947338073213734,8
ELETRO12_CEEOUT12,IGP12_IGPF12,0.9473078190444424,-11
BM12_DINGFN12,IGP12_IGPOG12,0.9473018860517612,12
FUNCEX12_MDPT12,FUNCEX12_MPAGP2N12,0.9472372807867644,-1
FUNCEX12_MDPT12,FUNCEX12_MPPLAS2N12,0.9471572567804382,-1
ELETRO12_CEEOUT12,FUNCEX12_MQPES2N12,0.9471204897710082,2
ABATE12_ABPESU12,IGP12_IPAI12,0.9470292346526312,-3
FUNCEX12_MDPT12,FUNCEX12_MPAGP2N12,0.947026621209522,-2
BM12_DINGFN12,IGP12_IGPF12,0.9470109921671516,12
ABATE12_ABQUSU12,IGP12_IPAI12,0.9469983248491036,-2
FUNCEX12_MPBEB2N12,FUNCEX12_MPQUIM2N12,0.94683238946373,-4
FUNCEX12_XPM12,FUNCEX12_XVQUIM2N12,0.9467870427955812,-3
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.946638608387666,1
