CODE,DAY,MONTH,YEAR,VALUE,TYPE
ELETRO12_CEETCOM12,1,1,2000,126.176789,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2000,130.125305,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2000,130.344659,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2000,134.234382,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2000,132.387118,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2000,137.034809,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2000,137.449188,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2000,140.551094,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2000,145.112699,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2000,140.060734,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2000,142.884693,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2000,144.779821,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2001,143.553928,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2001,144.81696,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2001,145.794078,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2001,146.082268,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2001,155.148935,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2001,157.552293,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2001,166.387825,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2001,163.498863,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2001,163.76476,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2001,167.179074,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2001,170.738504,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2001,173.51251,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2002,177.665475,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2002,177.48774,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2002,175.867328,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2002,176.326887,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2002,183.148061,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2002,184.779603,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2002,185.927464,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2002,187.991208,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2002,191.62488,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2002,190.108061,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2002,194.027073,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2002,195.329693,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2003,203.652776,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2003,202.937155,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2003,204.887921,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2003,209.121569,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2003,222.209239,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2003,213.660687,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2003,229.346151,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2003,241.740323,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2003,237.966843,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2003,237.234086,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2003,247.540567,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2003,234.084238,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2004,238.17074,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2004,242.181283,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2004,238.896536,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2004,240.362452,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2004,252.154524,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2004,255.872086,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2004,257.099487,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2004,262.695012,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2004,264.729228,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2004,267.156684,VALUE (R$)
