CODE,DESCRICAO,GRANDE_TEMA,FONTE,MEDIDA
FUNCEX12_XPB12,Exportações - produtos básicos - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MPPLAS2N12,Importações - produtos de borracha e material plástico - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
ELETRO12_CEEOUT12,Energia elétrica - consumo - outros setores - quantidade,Macroeconômico,Eletrobras,GWh
ABATE12_ABQUSU12,Abate - suínos - quantidade,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Cabeça
FUNCEX12_MDPT12,Importações - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
ELETRO12_CEETCOM12,Energia elétrica - consumo - comércio - tarifa média por MWh,Macroeconômico,Eletrobras,R$
ELETRO12_CEET12,Energia elétrica - consumo -  quantidade,Macroeconômico,Eletrobras,GWh
FUNCEX12_XPM12,Exportações - produtos manufaturados - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
ELETRO12_CEERES12,Energia elétrica - consumo - residência - quantidade,Macroeconômico,Eletrobras,GWh
FUNCEX12_MPAGP2N12,Importações - agricultura e pecuária - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MPQUIM2N12,Importações - produtos químicos - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_XPT12,Exportações - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
ELETRO12_CEETIND12,Energia elétrica - consumo - indústria - tarifa média por MWh,Macroeconômico,Eletrobras,R$
ABATE12_ABPESU12,Abate - suínos - peso das carcaças,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Tonelada
ELETRO12_CEETT12,Energia elétrica - consumo - tarifa média por MWh,Macroeconômico,Eletrobras,R$
BM12_DINGFN12,DLSP - dívida interna líquida - governo federal e Banco Central,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Finanças Públicas (Bacen/Notas Imprensa/F. Púb)",R$
FUNCEX12_MPBEB2N12,Importações - bebidas - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVMAQEQU2N12,Importações - máquinas e equipamentos - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MPAL2N12,Importações - produtos alimentícios - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVMNM2N12,Importações - produtos de minerais não-metálicos - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_XPS12,Exportações - produtos semi-manufaturados - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVVEIC2N12,"Importações - veículos automotores, reboques, carrocerias - (FOB)",Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_XQPAP2N12,"Exportações - celulose, papel e produtos de papel - quantum - índice (média 2018 = 100)",Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_TTR12,Termos de troca - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVMAQINF2N12,"Importações - equipamentos de informática, eletrônicos e ópticos - (FOB)",Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MVPLAS2N12,Importações - produtos de borracha e material plástico - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MQDIV2N12,Importações - indústrias diversas - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MPCAL2N12,"Importações - couros, artefatos de couro e calçados - preços - índice (média 2018 = 100)",Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVTEXT2N12,Importações - produtos têxteis - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
ANP12_CDEPET12,Consumo aparente - derivados de petróleo - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
FUNCEX12_MVQUIM2N12,Importações - produtos químicos - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MVAL2N12,Importações - produtos alimentícios - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MVDIV2N12,Importações - indústrias diversas - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
IFS12_SOJAF12,Commodities - soja em farelo - cotação internacional,Macroeconômico,"Fundo Monetário Internacional, International Financial Statistics (FMI/IFS)",US$
FUNCEX12_MVMET2N12,Importações - produtos de metal - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
ELETRO12_CEEIND12,Energia elétrica - consumo - indústria - quantidade,Macroeconômico,Eletrobras,GWh
FUNCEX12_XPAGP2N12,Exportações - agricultura e pecuária - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
ELETRO12_CEECOM12,Energia elétrica - consumo - comércio - quantidade,Macroeconômico,Eletrobras,GWh
FUNCEX12_MQMNM2N12,Importações - produtos de minerais não-metálicos - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVPES2N12,Importações - pesca e aqüicultura - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_XVFARM2N12,Exportações - produtos farmoquímicos farmacêuticos - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MQPES2N12,Importações - pesca e aqüicultura - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MQPLAS2N12,Importações - produtos de borracha e material plástico - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVMETBAS2N12,Importações - metalurgia - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MQFARM2N12,Importações - produtos farmoquímicos farmacêuticos - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MPMETBAS2N12,Importações - metalurgia - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
IFS12_MAIZE12,Commodities - milho - cotação internacional,Macroeconômico,"Fundo Monetário Internacional, International Financial Statistics (FMI/IFS)",US$
FUNCEX12_MQMAQEQU2N12,Importações - máquinas e equipamentos - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MQTEXT2N12,Importações - produtos têxteis - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
ANP12_CALCO12,Consumo aparente - álcool carburante - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
FUNCEX12_MDQT12,Importações - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
BPAG12_BCM12,Balanço de pagamentos - balança comercial - importações,Macroeconômico,"Banco Central do Brasil, Balanço de Pagamentos (BPM6) (BCB / BP (BPM6))",US$
BPAG12_BCX12,Balanço de pagamentos - balança comercial - exportações,Macroeconômico,"Banco Central do Brasil, Balanço de Pagamentos (BPM6) (BCB / BP (BPM6))",US$
PAN12_MTV12,Balança comercial - importações (BPM6),Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Setor Externo (Bacen/Notas Imprensa/Set. Ext)",US$
FUNCEX12_MPMAD2N12,Importações - produtos de madeira - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVMOV2N12,Importações - móveis - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MQMET2N12,Importações - produtos de metal - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_XPEPET2N12,Exportações - extração de petróleo e gás natural - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MPEMM2N12,Importações - extração de minerais metálicos - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MPVEST2N12,Importações - artigos de vestuário e acessórios - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_XVAL2N12,Exportações - produtos alimentícios - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
IFS12_SOJAGP12,Commodities - soja em grão - cotação internacional,Macroeconômico,"Fundo Monetário Internacional, International Financial Statistics (FMI/IFS)",US$
FUNCEX12_XQFARM2N12,Exportações - produtos farmoquímicos farmacêuticos - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVMAQELET2N12,"Importações - máquinas, aparelhos e materiais elétricos - (FOB)",Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_XPMAQEQU2N12,Exportações - máquinas e equipamentos - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MPPAP2N12,"Importações - celulose, papel e produtos de papel - preços - índice (média 2018 = 100)",Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MVFARM2N12,Importações - produtos farmoquímicos farmacêuticos - (FOB),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),US$
FUNCEX12_MPDIV2N12,Importações - indústrias diversas - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MQMOV2N12,Importações - móveis - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_XPPETCOMB2N12,Exportações - derivados do petróleo - preços - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
FUNCEX12_MQAL2N12,Importações - produtos alimentícios - quantum - índice (média 2018 = 100),Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
BPAG12_SEROUTROSD12,Balanço de pagamentos - serviços - outros serviços de negócio - despesa,Macroeconômico,"Banco Central do Brasil, Balanço de Pagamentos (BPM6) (BCB / BP (BPM6))",US$
PAN12_XTV12,Balança comercial - exportações (BPM6),Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Setor Externo (Bacen/Notas Imprensa/Set. Ext)",US$
FUNCEX12_MQMAQELET2N12,"Importações - máquinas, aparelhos e materiais elétricos - quantum - índice (média 2018 = 100)",Macroeconômico,Fundação Centro de Estudos do Comércio Exterior (Funcex),-
BPAG12_SERTRANSD12,Balanço de pagamentos - serviços - transportes - despesa,Macroeconômico,"Banco Central do Brasil, Balanço de Pagamentos (BPM6) (BCB / BP (BPM6))",US$
BM12_ERC12,Taxa de câmbio - R$ / US$ - comercial - compra - média,Macroeconômico,"Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP)",R$
BM12_ERV12,Taxa de câmbio - R$ / US$ - comercial - venda - média,Macroeconômico,"Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP)",R$
PAN12_ERV12,Taxa de câmbio nominal,Macroeconômico,"Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP)",R$
BM12_ERCF12,Taxa de câmbio - R$ / US$ - comercial - compra - fim período,Macroeconômico,"Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP)",R$
