CODE,DESCRICAO,GRANDE_TEMA,FONTE,MEDIDA
ABATE12_ABPEBO12,Abate - bois - peso das carcaças,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Tonelada
ABATE12_ABPEBV12,Abate - bovinos - peso das carcaças,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Tonelada
ABATE12_ABPEFR12,Abate - frangos - peso das carcaças,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Tonelada
ABATE12_ABPENO12,Abate - novilhos - peso das carcaças,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Tonelada
ABATE12_ABPESU12,Abate - suínos - peso das carcaças,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Tonelada
ABATE12_ABPEVA12,Abate - vacas - peso das carcaças,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Tonelada
ABATE12_ABQUBO12,Abate - bois - quantidade,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Cabeça
ABATE12_ABQUBV12,Abate - bovinos - quantidade,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Cabeça
ABATE12_ABQUFR12,Abate - frangos - quantidade,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Cabeça
ABATE12_ABQUNO12,Abate - novilhos - quantidade,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Cabeça
ABATE12_ABQUSU12,Abate - suínos - quantidade,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Cabeça
ABATE12_ABQUVA12,Abate - vacas - quantidade,Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",Cabeça
ABIA12_ALIM12,Produção física - alimentos - índice (média 1989 = 100),Macroeconômico,"Associação Brasileira das Indústrias da Alimentação, Levantamento Abia-Brasil (Abia)",-
ABPO12_PAPEL12,"Papelão ondulado - expedição de caixas, acessórios e chapas - quantidade",Macroeconômico,"Associação Brasileira do Papelão Ondulado, Boletim Informativo (ABPO/Boletim)",Tonelada
ANDA12_PFERTILIZ12,Produção- fertilizantes - quantidade,Macroeconômico,Associação Nacional para Difusão de Adubos (Anda),Tonelada
ANFAVE12_LICVEN12,Vendas de autoveículos no mercado interno,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",-
ANFAVE12_QCAMINM12,Produção - caminhões - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_QONIBUM12,Produção - ônibus - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_QPASSAM12,Produção - automóveis - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_QVEICLM12,Produção - veículos comerciais leves - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_QVETOTM12,Produção - autoveículos - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANP12_PDGASN12,Produção - gás natural - média - quantidade,Macroeconômico,Agência Nacional do Petróleo (ANP),Metro cúbico
ANP12_PDPET12,Produção - petróleo - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
CNI12_NUCAP12,Indicadores Industriais - utilização da capacidade instalada - indústria - índice (média 2006 = 100),Macroeconômico,Confederação Nacional da Indústria,(%)
CNI12_NUCAPD12,Indicadores Industriais - utilização da capacidade instalada - indústria - índice dessazonalizado (média 2006 = 100),Macroeconômico,Confederação Nacional da Indústria,(%)
FIEMG12_CUTIND12,Indústria MG - utilização da capacidade instalada - extrativa mineral - média,Macroeconômico,Federação das Indústrias do Estado de Minas Gerais (Fiemg),(%)
IBSIE12_QSCAB12,Transformação Mineral - aço bruto - produção,Macroeconômico,Instituto Aço Brasil,Tonelada
IBSIE12_QSCFG12,Transformação Mineral  - ferro-gusa - produção,Macroeconômico,Instituto Aço Brasil,Tonelada
IBSIE12_QSCL12,Transformação Mineral - laminados - produção,Macroeconômico,Instituto Aço Brasil,Tonelada
ONS12_CONV12,Energia elétrica - geração - térmica convencional - quantidade,Macroeconômico,Operador Nacional do Sistema Elétrico (ONS),GWh
ONS12_HIDR12,Energia elétrica - geração - hidráulica - quantidade,Macroeconômico,Operador Nacional do Sistema Elétrico (ONS),GWh
ONS12_NUCL12,Energia elétrica - geração - termo nuclear - quantidade,Macroeconômico,Operador Nacional do Sistema Elétrico (ONS),GWh
SNIC12_QSCC12,Produção - cimento - quantidade,Macroeconômico,Sindicato Nacional da Indústria do Cimento (SNIC),Tonelada
ACSP12_SCPCC12,SPC - número de consultas,Macroeconômico,"Associação Comercial de São Paulo, Boletim do Instituto de Economia Gastão Vidigal  (ACSP/IEGV)",Unidade
ACSP12_TELCH12,Usecheque - número de consultas,Macroeconômico,"Associação Comercial de São Paulo, Boletim do Instituto de Economia Gastão Vidigal  (ACSP/IEGV)",Unidade
ANDA12_VFERTILIZ12,Venda - fertilizantes - quantidade,Macroeconômico,Associação Nacional para Difusão de Adubos (Anda),Tonelada
ANP12_CALCO12,Consumo aparente - álcool carburante - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_CDEPET12,Consumo aparente - derivados de petróleo - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_CGASOL12,Consumo aparente - gasolina - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_CGLP12,Consumo aparente - gás GLP - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
